model,method,n_bands,patch_size,token_size,fold,loss_fn,accuracy,sensitivity,specificity,f1,auc,train_time_sec,inference_time_per_image_ms,git_sha,seed,code_version
SVM,MI,10,,,2,,0.745212,0.621833,0.815714,0.72129,0.7088,837.309,7.410237,,,
SVM,MI,10,,,3,,0.826829,0.616667,0.913793,0.778831,0.816087,823.408,7.632641,,,
SVM,MI,20,,,1,,0.587833,0.675333,0.558667,0.560316,0.642725,414.848,4.499545,,,
SVM,MI,20,,,2,,0.741758,0.612333,0.815714,0.716881,0.685348,1039.285,8.260406,,,
SVM,MI,20,,,3,,0.824341,0.6115,0.912414,0.775511,0.798813,986.151,8.426048,,,
SVM,MI,50,,,1,,0.596133,0.6728,0.570578,0.566917,0.652579,612.466,4.817334,,,
SVM,MI,50,,,2,,0.734848,0.606,0.808476,0.709739,0.697742,1688.24,8.675432,,,
SVM,MI,50,,,3,,0.823024,0.614667,0.909241,0.774676,0.788368,1591.44,8.909153,,,
SVM,MI,100,,,1,,0.7124,0.6596,0.73,0.663081,0.742695,869.973,6.93656,,,
SVM,MI,100,,,2,,0.742606,0.627667,0.808286,0.719656,0.823012,2276.376,11.434732,,,
SVM,MI,100,,,3,,0.761805,0.738833,0.77131,0.73283,0.77248,2120.274,11.851456,,,
SVM,LASSO,4,,,1,,0.589333,0.828933,0.509467,0.57638,0.698326,212.503,2.959997,,,
SVM,LASSO,4,,,2,,0.601212,0.000333,0.944571,0.375758,0.495712,600.193,5.839847,,,
SVM,LASSO,4,,,3,,0.826732,0.576167,0.930414,0.772143,0.82653,518.667,5.760271,,,
SVM,LASSO,10,,,1,,0.6269,0.8652,0.547467,0.612262,0.751318,180.082,2.381862,,,
SVM,LASSO,10,,,2,,0.65097,0.1365,0.944952,0.498253,0.806677,511.316,4.921339,,,
SVM,LASSO,10,,,3,,0.836,0.66,0.908828,0.794437,0.858777,466.726,4.82708,,,
SVM,LASSO,20,,,1,,0.665367,0.8628,0.599556,0.645988,0.782793,182.293,2.160862,,,
SVM,LASSO,20,,,2,,0.718909,0.27,0.975429,0.613326,0.864574,568.574,4.595213,,,
SVM,LASSO,20,,,3,,0.864488,0.782333,0.898483,0.837657,0.900957,460.831,4.264132,,,
SVM,LASSO,50,,,1,,0.672867,0.8708,0.606889,0.653317,0.811731,268.337,2.375574,,,
SVM,LASSO,50,,,2,,0.726364,0.284,0.979143,0.625047,0.877905,905.61,4.601807,,,
SVM,LASSO,50,,,3,,0.881073,0.829333,0.902483,0.859007,0.925611,825.316,4.66894,,,
SVM,LASSO,100,,,1,,0.675,0.840133,0.619956,0.65241,0.772032,376.67,2.844973,,,
SVM,LASSO,100,,,2,,0.718303,0.256,0.982476,0.607033,0.909182,1158.147,5.872686,,,
SVM,LASSO,100,,,3,,0.903707,0.781,0.954483,0.879725,0.936685,674.427,5.336508,,,
SVM,FullSpectrum,699,,,1,,0.676633,0.780667,0.641956,0.647761,0.742792,1294.789,11.516331,,,
SVM,FullSpectrum,699,,,2,,0.679515,0.132833,0.991905,0.514576,0.898284,4655.506,23.102206,,,
SVM,FullSpectrum,699,,,3,,0.897366,0.739667,0.962621,0.869146,0.944351,2883.614,19.468183,,,
HybridSN,PCA,10,11,,3,FocalLoss,0.838943,0.781389,0.862759,0.811502,0.890386,131.345,0.045162,,,
HybridSN,PCA,20,11,,1,FocalLoss,0.498778,0.601333,0.464593,0.478302,0.540992,118.486,0.04159,,,
HybridSN,PCA,20,11,,2,FocalLoss,0.552727,0.060278,0.834127,0.396419,0.753507,133.832,0.048014,,,
HybridSN,PCA,20,11,,3,FocalLoss,0.839187,0.686389,0.902414,0.801142,0.902173,166.869,0.043648,,,
HybridSN,PCA,50,11,,1,FocalLoss,0.553333,0.559333,0.551333,0.517173,0.54268,164.057,0.051573,,,
HybridSN,PCA,50,11,,2,FocalLoss,0.537576,0.023889,0.831111,0.366012,0.714962,228.795,0.054401,,,
HybridSN,PCA,50,11,,3,FocalLoss,0.796423,0.557222,0.895402,0.738625,0.8689,301.546,0.053636,,,
HybridSN,PCA,100,11,,1,FocalLoss,0.481444,0.517778,0.469333,0.454421,0.470608,379.146,0.083185,,,
HybridSN,PCA,100,11,,2,FocalLoss,0.576263,0.001944,0.904444,0.36713,0.726482,539.587,0.081385,,,
HybridSN,PCA,100,11,,3,FocalLoss,0.792683,0.349167,0.976207,0.682959,0.722296,578.273,0.080463,,,
HybridSN,MI,4,11,,1,FocalLoss,0.530722,0.815333,0.435852,0.523507,0.690916,88.575,0.043515,,,
HybridSN,MI,4,11,,2,FocalLoss,0.440909,0.664167,0.313333,0.439915,0.606366,117.137,0.046067,,,
HybridSN,MI,4,11,,3,FocalLoss,0.64935,0.860556,0.561954,0.641754,0.8223,109.175,0.044937,,,
HybridSN,MI,10,11,,1,FocalLoss,0.459556,0.743556,0.364889,0.455359,0.665869,104.0,0.041649,,,
HybridSN,MI,10,11,,2,FocalLoss,0.526667,0.614722,0.476349,0.523649,0.582109,144.206,0.048396,,,
HybridSN,MI,10,11,,3,FocalLoss,0.825203,0.828611,0.823793,0.802331,0.867091,58.841,0.043637,,,
HybridSN,MI,20,11,,1,FocalLoss,0.398278,0.768444,0.274889,0.398159,0.686895,151.702,0.074846,,,
HybridSN,MI,20,11,,2,FocalLoss,0.61,0.636111,0.595079,0.601342,0.637427,182.971,0.048715,,,
HybridSN,MI,20,11,,3,FocalLoss,0.67374,0.867778,0.593448,0.664521,0.807543,169.255,0.048585,,,
HybridSN,MI,50,11,,1,FocalLoss,0.483222,0.820444,0.370815,0.480454,0.655331,242.462,0.05764,,,
HybridSN,MI,50,11,,2,FocalLoss,0.735253,0.525278,0.855238,0.69751,0.765026,326.923,0.056259,,,
HybridSN,MI,50,11,,3,FocalLoss,0.80187,0.796111,0.804253,0.77668,0.834104,302.102,0.051847,,,
HybridSN,MI,100,11,,1,FocalLoss,0.687944,0.683111,0.689556,0.645397,0.724052,461.897,0.077369,,,
HybridSN,MI,100,11,,2,FocalLoss,0.623939,0.198889,0.866825,0.511786,0.725463,439.352,0.08297,,,
HybridSN,MI,100,11,,3,FocalLoss,0.787236,0.765278,0.796322,0.75956,0.819111,578.689,0.081863,,,
HybridSN,LASSO,4,11,,1,FocalLoss,0.539444,0.853111,0.434889,0.533499,0.793761,64.217,0.039824,,,
HybridSN,LASSO,4,11,,2,FocalLoss,0.496566,0.594444,0.440635,0.494479,0.589549,71.205,0.044185,,,
HybridSN,LASSO,4,11,,3,FocalLoss,0.755772,0.768056,0.75069,0.730509,0.833884,108.508,0.047818,,,
HybridSN,LASSO,10,11,,1,FocalLoss,0.5825,0.874889,0.485037,0.573527,0.83045,104.81,0.040135,,,
HybridSN,LASSO,10,11,,2,FocalLoss,0.61697,0.096111,0.914603,0.453371,0.690818,136.807,0.048832,,,
HybridSN,LASSO,10,11,,3,FocalLoss,0.871057,0.742778,0.924138,0.840748,0.931121,107.152,0.043588,,,
HybridSN,LASSO,20,11,,1,FocalLoss,0.810778,0.876889,0.788741,0.780324,0.919469,122.153,0.04233,,,
HybridSN,LASSO,20,11,,2,FocalLoss,0.641515,0.045556,0.982063,0.430858,0.862489,182.226,0.049049,,,
HybridSN,LASSO,20,11,,3,FocalLoss,0.876911,0.851667,0.887356,0.856344,0.94832,125.501,0.044192,,,
HybridSN,LASSO,50,11,,1,FocalLoss,0.836,0.894889,0.81637,0.806837,0.932024,241.919,0.051666,,,
HybridSN,LASSO,50,11,,2,FocalLoss,0.656162,0.128056,0.957937,0.496574,0.844575,326.988,0.055941,,,
HybridSN,LASSO,50,11,,3,FocalLoss,0.884797,0.850556,0.898966,0.864515,0.938704,301.863,0.054002,,,
HybridSN,LASSO,100,11,,1,FocalLoss,0.819722,0.764667,0.838074,0.777075,0.866199,460.936,0.076607,,,
HybridSN,LASSO,100,11,,2,FocalLoss,0.646364,0.048056,0.988254,0.435242,0.926628,550.663,0.081875,,,
HybridSN,LASSO,100,11,,3,FocalLoss,0.900163,0.889444,0.904598,0.883364,0.960694,578.625,0.086367,,,
HybridSN,PCA,4,11,,1,FocalLoss,0.470056,0.608889,0.423778,0.455111,0.516821,90.576,0.044048,,,
HybridSN,PCA,4,11,,2,FocalLoss,0.565354,0.101944,0.830159,0.427125,0.724433,118.412,0.046124,,,
HybridSN,PCA,4,11,,3,FocalLoss,0.837561,0.738333,0.878621,0.80562,0.875462,110.95,0.04269,,,
HybridSN,PCA,10,11,,1,FocalLoss,0.492111,0.587778,0.460222,0.471339,0.514049,105.597,0.042197,,,
HybridSN,PCA,10,11,,2,FocalLoss,0.566263,0.047778,0.86254,0.395481,0.760974,135.78,0.044598,,,
ViT,PCA,50,11,4,1,FocalLoss,0.277,0.756222,0.117259,0.269532,0.638674,92.429,0.100687,,,
ViT,PCA,50,11,4,2,FocalLoss,0.363636,1.0,0.0,0.266667,0.820155,117.788,0.108273,,,
ViT,PCA,50,11,4,3,FocalLoss,0.776341,0.748333,0.787931,0.747438,0.851572,469.606,0.110536,,,
ViT,PCA,100,11,4,1,FocalLoss,0.336611,0.725556,0.206963,0.336157,0.650286,92.735,0.117336,,,
ViT,PCA,100,11,4,2,FocalLoss,0.705455,0.620556,0.753968,0.685117,0.788317,137.614,0.117747,,,
ViT,PCA,100,11,4,3,FocalLoss,0.730163,0.571389,0.795862,0.680071,0.790866,519.527,0.114227,,,
ViT,MI,4,11,4,1,FocalLoss,0.435,0.752444,0.329185,0.433041,0.690682,400.321,0.091617,,,
ViT,MI,4,11,4,2,FocalLoss,0.398283,0.871667,0.127778,0.362902,0.716183,519.123,0.100998,,,
ViT,MI,4,11,4,3,FocalLoss,0.783089,0.801944,0.775287,0.759421,0.833163,475.62,0.094392,,,
ViT,MI,10,11,4,1,FocalLoss,0.327556,0.795111,0.171704,0.324244,0.703894,84.966,0.088841,,,
ViT,MI,10,11,4,2,FocalLoss,0.436869,0.91,0.166508,0.406854,0.817783,173.907,0.099579,,,
ViT,MI,10,11,4,3,FocalLoss,0.78439,0.853889,0.755632,0.765394,0.848256,315.929,0.099133,,,
ViT,MI,20,11,4,1,FocalLoss,0.264889,0.909111,0.050148,0.237458,0.703005,94.131,0.095788,,,
ViT,MI,20,11,4,2,FocalLoss,0.363636,1.0,0.0,0.266667,0.773135,171.571,0.103012,,,
ViT,MI,20,11,4,3,FocalLoss,0.815366,0.862222,0.795977,0.795645,0.880777,193.711,0.109198,,,
ViT,MI,50,11,4,1,FocalLoss,0.314444,0.805333,0.150815,0.309067,0.703831,125.248,0.103114,,,
ViT,MI,50,11,4,2,FocalLoss,0.377778,0.933333,0.060317,0.315783,0.792322,205.488,0.112382,,,
ViT,MI,50,11,4,3,FocalLoss,0.708943,0.923889,0.62,0.700476,0.875981,157.4,0.107144,,,
ViT,MI,100,11,4,1,FocalLoss,0.447,0.745556,0.347481,0.443937,0.690924,95.681,0.107916,,,
ViT,MI,100,11,4,2,FocalLoss,0.76101,0.836667,0.717778,0.755318,0.775257,245.874,0.115875,,,
ViT,MI,100,11,4,3,FocalLoss,0.818455,0.926389,0.773793,0.803465,0.929298,541.921,0.120623,,,
ViT,LASSO,4,11,4,1,FocalLoss,0.445889,0.75,0.344519,0.44309,0.684215,407.382,0.096093,,,
ViT,LASSO,4,11,4,2,FocalLoss,0.422222,0.742222,0.239365,0.414123,0.614403,554.48,0.100895,,,
ViT,LASSO,4,11,4,3,FocalLoss,0.744146,0.843611,0.702989,0.727042,0.852923,508.6,0.097295,,,
ViT,LASSO,10,11,4,1,FocalLoss,0.453944,0.912889,0.300963,0.453941,0.70252,404.8,0.095402,,,
ViT,LASSO,10,11,4,2,FocalLoss,0.715455,0.680278,0.735556,0.700884,0.708496,554.409,0.117426,,,
ViT,LASSO,10,11,4,3,FocalLoss,0.787236,0.929444,0.728391,0.773864,0.923549,509.006,0.094157,,,
ViT,LASSO,20,11,4,1,FocalLoss,0.562111,0.913556,0.444963,0.557198,0.753806,406.474,0.093959,,,
ViT,LASSO,20,11,4,2,FocalLoss,0.376566,0.720278,0.180159,0.362744,0.617231,548.346,0.098626,,,
ViT,LASSO,20,11,4,3,FocalLoss,0.835122,0.908889,0.804598,0.818444,0.926732,509.767,0.096345,,,
ViT,LASSO,50,11,4,1,FocalLoss,0.536667,0.723111,0.474519,0.52201,0.643369,415.383,0.099291,,,
ViT,LASSO,50,11,4,2,FocalLoss,0.495758,0.777778,0.334603,0.493282,0.688507,565.653,0.113142,,,
ViT,LASSO,50,11,4,3,FocalLoss,0.815122,0.930833,0.767241,0.800556,0.925958,521.569,0.108585,,,
ViT,LASSO,100,11,4,1,FocalLoss,0.482444,0.895778,0.344667,0.481826,0.712344,427.353,0.117362,,,
ViT,LASSO,100,11,4,2,FocalLoss,0.572929,0.6975,0.501746,0.57108,0.644897,584.108,0.114049,,,
ViT,LASSO,100,11,4,3,FocalLoss,0.787805,0.935278,0.726782,0.774798,0.903309,536.241,0.116016,,,
ViT,PCA,4,11,4,1,FocalLoss,0.443111,0.632,0.380148,0.433966,0.505474,351.593,0.085414,,,
ViT,PCA,4,11,4,2,FocalLoss,0.568283,0.148889,0.807937,0.452414,0.425969,472.214,0.091541,,,
ViT,PCA,4,11,4,3,FocalLoss,0.872602,0.903611,0.85977,0.855541,0.934706,434.991,0.08584,,,
ViT,PCA,10,11,4,1,FocalLoss,0.384278,0.736222,0.266963,0.384117,0.552452,350.721,0.093721,,,
ViT,PCA,10,11,4,2,FocalLoss,0.678788,0.531111,0.763175,0.648729,0.811732,171.68,0.090411,,,
ViT,PCA,10,11,4,3,FocalLoss,0.81252,0.838056,0.801954,0.79084,0.873576,442.674,0.09451,,,
ViT,PCA,20,11,4,1,FocalLoss,0.236444,0.871556,0.024741,0.20485,0.672542,107.405,0.089823,,,
ViT,PCA,20,11,4,2,FocalLoss,0.363636,1.0,0.0,0.266667,0.827898,106.996,0.100039,,,
ViT,PCA,20,11,4,3,FocalLoss,0.789837,0.884722,0.750575,0.773053,0.87115,340.299,0.091915,,,
